,A,C,K,Y,I
297,358.3034693118933,2221.229016212786,572.2070783698196,412.3269077651951,-1808.902108447591
298,365.46953869813115,2274.691527886087,583.6846459701021,420.5806717188386,-1854.1108561672484
299,372.7789294720938,2328.3353834491245,595.3907862017794,428.99929910442063,-1899.336084344704
300,380.2345080615357,2383.5687193512713,607.3323656880921,437.5865833260062,-1945.9821360252652
301,387.8391982227664,2443.5160979219986,619.5142599585497,446.3459335334204,-1997.170164388578
302,395.59598218722175,2507.9369453234117,631.9381721674765,455.2801203174253,-2052.6568250059863
303,403.5079018309662,2577.5594005219173,644.6096560252182,464.39279462899754,-2113.1666058929195
304,411.5780598675855,2646.903826417723,657.5305819571869,473.68686037574645,-2173.2169660419763
305,419.80962106493723,2713.6113681055876,670.7099102129406,483.1668037494038,-2230.444564356184
306,428.20581348623597,2778.8026107527953,684.1552927669696,492.83687910258027,-2285.9657316502153
307,436.76992975596073,2846.8896382632843,697.8728695451451,502.70106597948023,-2344.188572283804
308,445.5053283510799,2924.9445752250754,711.8673315787024,512.7630838564653,-2412.1814913686103
309,454.41543491810154,3005.4174742257987,726.1354575651508,523.0249966111512,-2482.3924776146478
310,463.50374361646357,3089.817534496549,740.6895482614505,533.4922775463813,-2556.3252569501674
311,472.77381848879287,3165.34359858638,755.5292380369275,544.1677192271012,-2621.1758793592785
312,482.2292948585687,3258.560960983678,770.6799066759436,555.0597345427273,-2703.5012264409506
313,491.8738807557401,3345.9544441268663,786.119517292007,566.1665495881456,-2779.7878945387206
314,501.7113583708549,3446.429997216182,801.8777111421223,577.497616208874,-2868.9323810073083
315,511.745585538272,3544.4398756193514,817.942251320793,589.0533989028141,-2955.3864767165373
316,521.9804972490375,3650.3720939751233,834.3334938969174,600.8414662603649,-3049.5306277147583
317,532.4201071940182,3763.482332419995,851.0508661666049,612.8649285581001,-3150.617403861895
318,543.0685093378986,3878.493581847794,868.0998489210332,625.1282686619245,-3253.365313185869
