,A,C,K,Z,Y,I
667,544897.1861331437,317946.4104208539,873002.9273559732,0.9938203921705658,623781.9582219601,305835.54780110624
668,555795.1298558066,322401.16804165265,890462.9809736261,0.9948305764614858,636904.3303209585,314503.16227930586
669,566911.0324529227,327234.01960003166,908272.2372405557,0.9955339611088564,650101.7391446469,322867.71954461525
670,578249.2531019811,332362.4064089536,926437.6771538625,0.9950158250834322,662758.6536206774,330396.2472117238
671,589814.2381640208,337404.2549266397,944966.4236304689,1.0005481826994356,679772.5093501353,342368.2544234956
672,601610.5229273012,344331.5630102218,963865.7525879733,1.0007875212933184,693533.8184333665,349202.25542314467
673,613642.7333858473,351480.95131479285,983143.0563542334,1.002370852564558,708523.6666465465,357042.7153317536
674,625915.5880535642,359317.9994403488,1002805.90754793,0.9981185089814396,719628.2627900019,360310.2633496531
675,638433.8998146355,365849.2326673695,1022862.0073769285,0.9975570725732702,733607.9412509898,367758.7085836203
676,651202.5778109282,372300.127296078,1043319.2377536775,0.9982488126796196,748798.9809216304,376498.8536255524
677,664226.6293671469,379114.3458897338,1064185.614729575,1.0001603830580574,765237.529687748,386123.18379801424
678,677511.1619544898,386755.551180345,1085469.3199511818,0.998382870259371,779155.0773488841,392399.5261685391
679,691061.3851935796,393884.5922355401,1107178.6930285657,0.9997882920725051,795856.9275618589,401972.3353263188
680,704882.6128974512,401681.4802050269,1129322.2590589,0.9967081314734733,809273.1404705642,407591.6602655373
681,718980.2651554003,408433.7123802014,1151908.6897203128,0.9957648112498984,824677.3566162317,416243.64423603035
682,733359.8704585083,414926.03863763245,1174946.854531633,0.9955591190061974,840997.1435901703,426071.10495253786
683,748027.0678676784,421438.8454630985,1198445.784375019,0.9994516598167864,861171.0675545699,439732.2220914714
684,762987.609225032,429643.69129574613,1222414.697764321,0.999455010976813,878397.4336657333,448753.7423699872
685,778247.3614095326,438009.6696180139,1246862.9809257938,1.002573925291127,898761.3430302002,460751.6734121863
686,793812.3086377233,447862.2474133972,1271800.2333935301,0.9980736377132955,912621.5818217001,464759.3344083029
687,809688.5548104778,455983.4522236716,1297236.2188960249,0.996364308803278,929279.7683909518,473296.3161672802
688,825882.3259066874,463496.5523131535,1323180.931844491,0.9969705294075043,948442.0735622515,484945.521249098
689,842399.9724248211,471405.7596504168,1349644.54342567,0.9951977711338789,965690.7165291414,494284.9568787246
690,859247.9718733176,478639.9904450474,1376637.423766121,0.9974491317662803,987232.8298307492,508592.8393857018
691,876432.931310784,487029.6165652208,1404170.1681477416,0.9955590470033745,1005069.3453303608,518039.72876514
692,893961.5899369996,494674.1493568796,1432253.5602238697,0.9975847260502093,1027256.6601989288,532582.5108420493
693,911840.8217357396,503409.8267732078,1460898.6265705922,0.9958852246800445,1046016.7403863692,542606.9136131613
694,930077.6381704544,511470.61216800346,1490116.5877727636,0.995193749430731,1066196.263920223,554725.6517522197
695,948679.1909338635,519317.6877230937,1519918.9110131327,0.9975076003422614,1090048.6996110834,570731.0118879897
696,967652.7747525409,528449.7407955755,1550317.2848655637,0.9961257388979755,1110309.4115227186,581859.6707271431
697,987005.8302475917,537034.6588436223,1581323.6194664624,0.9971651660308491,1133697.3432012757,596662.6843576534
698,1006745.9468525435,546300.0378006238,1612950.084926085,0.9974392561822227,1156689.1396113131,610389.1018106893
